date,rating,category,review_text,staff_response
"2026-05-04","4","서비스","응대가 친절하고 주문이 빨랐습니다.",""
"2026-05-05","4","가격","가격 안내가 이해하기 쉬웠습니다.",""
"2026-05-06","5","맛","메뉴 맛이 기대에 맞았습니다.","감사합니다."
"2026-05-07","4","분위기","매장이 정돈되어 있어 편했습니다.",""
"2026-05-08","3","대기 시간","점심 시간에는 대기가 길었습니다.","대기 동선을 확인하겠습니다."
"2026-05-09","5","친절","주말 방문에도 안내가 친절했습니다.",""
"2026-05-10","5","친절","재방문하고 싶은 경험이었습니다.",""
"2026-05-11","4","서비스","응대가 친절하고 주문이 빨랐습니다.",""
"2026-05-12","4","가격","가격 안내가 이해하기 쉬웠습니다.",""
"2026-05-13","5","맛","메뉴 맛이 기대에 맞았습니다.","감사합니다."
"2026-05-14","4","분위기","매장이 정돈되어 있어 편했습니다.",""
"2026-05-15","3","대기 시간","점심 시간에는 대기가 길었습니다.","대기 동선을 확인하겠습니다."
"2026-05-16","5","친절","주말 방문에도 안내가 친절했습니다.",""
"2026-05-17","5","친절","재방문하고 싶은 경험이었습니다.",""
"2026-05-18","4","서비스","응대가 친절하고 주문이 빨랐습니다.",""
"2026-05-19","4","가격","가격 안내가 이해하기 쉬웠습니다.",""
"2026-05-20","5","맛","메뉴 맛이 기대에 맞았습니다.","감사합니다."
"2026-05-21","4","분위기","매장이 정돈되어 있어 편했습니다.",""
"2026-05-22","3","대기 시간","점심 시간에는 대기가 길었습니다.","대기 동선을 확인하겠습니다."
"2026-05-23","5","친절","주말 방문에도 안내가 친절했습니다.",""
"2026-05-24","5","친절","재방문하고 싶은 경험이었습니다.",""
"2026-05-25","4","서비스","응대가 친절하고 주문이 빨랐습니다.",""
"2026-05-26","4","가격","가격 안내가 이해하기 쉬웠습니다.",""
"2026-05-27","5","맛","메뉴 맛이 기대에 맞았습니다.","감사합니다."
"2026-05-28","4","분위기","매장이 정돈되어 있어 편했습니다.",""
"2026-05-29","3","대기 시간","점심 시간에는 대기가 길었습니다.","대기 동선을 확인하겠습니다."
"2026-05-30","5","친절","주말 방문에도 안내가 친절했습니다.",""
"2026-05-31","5","친절","재방문하고 싶은 경험이었습니다.",""
"2026-06-01","4","서비스","응대가 친절하고 주문이 빨랐습니다.",""
"2026-06-02","4","가격","가격 안내가 이해하기 쉬웠습니다.",""
"2026-06-03","5","맛","메뉴 맛이 기대에 맞았습니다.","감사합니다."
"2026-06-04","4","분위기","매장이 정돈되어 있어 편했습니다.",""
"2026-06-05","3","대기 시간","점심 시간에는 대기가 길었습니다.","대기 동선을 확인하겠습니다."
"2026-06-06","5","친절","주말 방문에도 안내가 친절했습니다.",""
"2026-06-07","5","친절","재방문하고 싶은 경험이었습니다.",""
"2026-06-08","4","서비스","응대가 친절하고 주문이 빨랐습니다.",""
"2026-06-09","4","가격","가격 안내가 이해하기 쉬웠습니다.",""
"2026-06-10","5","맛","메뉴 맛이 기대에 맞았습니다.","감사합니다."
"2026-06-11","4","분위기","매장이 정돈되어 있어 편했습니다.",""
"2026-06-12","3","대기 시간","점심 시간에는 대기가 길었습니다.","대기 동선을 확인하겠습니다."
"2026-06-13","5","친절","주말 방문에도 안내가 친절했습니다.",""
"2026-06-14","5","친절","재방문하고 싶은 경험이었습니다.",""
